gender,match,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,attr1_1,samerace,attr3_1,order,round,iid,pid,wave,age,race,shar_o_categorie,est_premier,dernier_order,est_dernier,field_cd,go_out,exphappy,go_out_cat,exphappy_cat,confiance_cat,field_nom
0,0,6.0,8.0,8.0,8.0,8.0,6.0,15.0,0,6.0,4,10,1,11.0,1,21.0,4.0,Moyen (5-7),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,0,7.0,8.0,10.0,7.0,7.0,5.0,15.0,0,6.0,3,10,1,12.0,1,21.0,4.0,Faible (0-5),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,1,10.0,10.0,10.0,10.0,10.0,10.0,15.0,1,6.0,10,10,1,13.0,1,21.0,4.0,Élevé (7-10),0,10,1,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,1,7.0,8.0,9.0,8.0,9.0,8.0,15.0,0,6.0,5,10,1,14.0,1,21.0,4.0,Élevé (7-10),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,1,8.0,7.0,9.0,6.0,9.0,7.0,15.0,0,6.0,7,10,1,15.0,1,21.0,4.0,Moyen (5-7),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,0,7.0,7.0,8.0,8.0,7.0,7.0,15.0,0,6.0,6,10,1,16.0,1,21.0,4.0,Moyen (5-7),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,0,3.0,6.0,7.0,5.0,8.0,7.0,15.0,0,6.0,1,10,1,17.0,1,21.0,4.0,Moyen (5-7),1,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,0,6.0,7.0,5.0,6.0,8.0,6.0,15.0,0,6.0,2,10,1,18.0,1,21.0,4.0,Moyen (5-7),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,1,7.0,7.0,8.0,8.0,8.0,9.0,15.0,0,6.0,8,10,1,19.0,1,21.0,4.0,Élevé (7-10),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
0,0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,0,6.0,9,10,1,20.0,1,21.0,4.0,Moyen (5-7),0,10,0,1.0,1.0,3.0,Très fréquent (1-2/semaine),Faible (1-4),Confiance moyenne (6-7),Droit (Law)
